uid,doi,title
ca05d4f5d604a00c9d6c91f69b0a3668,10.2110/jsr.2022.015,"Paleosol-derived paleoclimate and paleoenvironment reconstruction of the Rukwa Rift Basin, Tanzania: implications for faunal dispersal in the Miocene–Pliocene"
b21b8746a8075a09cee16b1b6bea08c8,10.1130/G48833.1,New chronology of the Chinese loess-paleosol sequence by leaf wax δD records during the past 800 k.y.
696125468e63c9a25f31963986632c26,10.1130/B35331.1,Multiproxy paleosol evidence for a rain shadow effect linked to Miocene uplift of the North Patagonian Andes
92fc8396ee62450068b866fa8774cc6c,10.1346/CCMN.2016.064044,"CHARACTERISTICS OF EARLY EARTH’S CRITICAL ZONE BASED ON MIDDLE–LATE DEVONIAN PALEOSOL PROPERTIES (VORONEZH HIGH, RUSSIA)"
da1fb67d3a9a14b8124629eaf99636d4,10.2110/jsr.2016.41,"Paleosol Diagenesis and Its Deep-Time Paleoenvironmental Implications, Pennsylvanian–Permian Lodève Basin, France"
199ec819cad51bbcb76bf600721c98a8,10.1130/G36880Y.1,Oxygenation of the Archean atmosphere: New paleosol constraints from eastern India: REPLY
4de766a93c0a1d305d98a3a5db1162b6,10.1130/G36554C.1,Oxygenation of the Archean atmosphere: New paleosol constraints from eastern India: COMMENT
330512a03f4c4a7c4b8ecd665951cdcf,10.1130/G36091.1,Oxygenation of the Archean atmosphere: New paleosol constraints from eastern India
5a4d9d5b28da79b29bc2f4b5dd9526bd,10.1130/G35209.1,Late Neoproterozoic Baltic paleosol: Intense weathering at high latitude?
8edad287e2d0a97865b9a57b717b53bb,10.1139/cjes-2013-0076,The Flin Flon paleosol revisited
2b811fc27a61c857715bfc06287114ec,10.2110/jsr.2013.48,"Paleoenvironmental and Paleoclimatic Interpretations of the Late Paleocene Goler Formation, Southern California, U.S.A., Based On Paleosol Geochemistry"
f0e8fdc2e308355b37f3f17133027d3d,10.2110/jsr.2013.50,"Polygenetic History of Paleosols In Middle–Upper Pennsylvanian Cyclothems of the Illinois Basin, U.S.A.: Part I. Characterization Of Paleosol Types And Interpretation Of Pedogenic Processes"
7eec1ee1ac850aef3aa1844d5a916847,10.1130/G34198.1,The progressive evolution of a continental climate in southeast-central European lowlands during the Middle Pleistocene recorded in loess paleosol sequences
7d6a51b672a3c4f1093d8d268e69890d,10.1666/11005.1,Estimating soil p CO 2 using paleosol carbonates: implications for the relationship between primary productivity and faunal richness in ancient terrestrial ecosystems
371d7e2f9ffcb0414b5f31507e4192d5,10.1130/G32761.1,Substantial biologically mediated phosphorus depletion from the surface of a Middle Cambrian paleosol
af1b19ff2fb544a5cc218819619869da,10.1130/G32350.1,Paleosol carbonate multiple isotopologue signature of active East Asian summer monsoons during the late Miocene and Pliocene
d6d6e312c2d33622ba8b6f2bbb130051,10.2138/am.2011.3821,"Early Proterozoic weathering processes under low O 2 conditions reconstructed from a 2.45 Ga paleosol in Pronto, Canada"
536782c9814a670a000f739976081c50,10.1130/G24734A.1,"Astronomical climate control on paleosol stacking patterns in the upper Paleocene–lower Eocene Willwood Formation, Bighorn Basin, Wyoming"
539d35524774a5052de3fbc868c1e9d4,10.2110/jsr.2007.082,"Continental Sequence Stratigraphy of the Upper Triassic (Norian–Rhaetian) Chinle Strata, Northern New Mexico, U.S.A.: Allocyclic and Autocyclic Origins of Paleosol-Bearing Alluvial Successions"
61db1cf713fceb79c6c8ab761c33eeff,10.1130/B25774.1,"Regional-scale assessment of a sequence-bounding paleosol on fluvial fans using ground-penetrating radar, eastern San Joaquin Valley, California"
d966826d5977ef553aec5eee9e4db266,10.1130/G22408.1,Carbon stable isotope composition of DNA isolated from an incipient paleosol
e0a76bbc9449ee8c8752b7c938b25a01,10.2113/40.1.25,"Triassic paleosol catenas associated with a salt-withdrawal minibasin in southeastern Utah, U.S.A."
64493fb8a2fe794d2408c33ab982379a,10.1139/e04-071,The Holland Paleosol: an informal pedostratigraphic unit in the coastal dunes of southeastern Lake Michigan
69728388df33dd5cb1c4f2e8bb19256e,10.1306/010704740537,Pedogenic Mud Aggregates and Paleosol Development in Ancient Dryland River Systems: Criteria for Interpreting Alluvial Mudrock Origin and Floodplain Dynamics
28f673cdb57d8f9e3e8045bd8941111f,10.1130/G20376.1,Effect of paleosol formation on rare earth element signatures in fossil bone
8edfab30c8df05e874caa62cf8ce9d56,10.1130/B25289.1,"High latitude meteoric δ 18 O compositions: Paleosol siderite in the Middle Cretaceous Nanushuk Formation, North Slope, Alaska"
823f4ca568d8d2f46ff15ee86da6c518,10.1130/0091-7613(2002)030&lt;0703:PBIEFI&gt;2.0.CO;2,Paleosol barometer indicates extreme fluctuations in atmospheric CO 2 across the Cretaceous-Tertiary boundary
af414738fe51b956c857b4ced7b0e5c8,10.1130/0016-7606(2001)113&lt;0728:CCIRTO&gt;2.0.CO;2,"Climate change in response to orographic barrier uplift: Paleosol and stable isotope evidence from the late Neogene Santa María basin, northwestern Argentina"
660b0fca1182b9bde176f5fb574bfefa,10.1130/0091-7613(2000)28&lt;771:IEOPNO&gt;2.0.CO;2,Isotope evidence of paleo–El Niño–Southern Oscillation cycles in loess-paleosol record in the central United States
39e6c71e5b6435d173b0def70abe18ec,10.1306/040300701065,"Paleopedology and Paleohydrology of a Volcaniclastic Paleosol Interval: Implications for Early Pleistocene Stratigraphy and Paleoclimate Record, Olduvai Gorge, Tanzania"
77f5039915a63dc2fdec9866c96a9d89,10.2138/am-2000-0703,Cerium anomaly and Th/U fractionation in the 1.85 Ga Flin Flon Paleosol: Clues from REE- and U-rich accessory minerals and implications for paleoatmospheric reconstruction
f192cf0a69b013f621710b5de1ce29b0,10.1130/0091-7613(2000)28&lt;483:LAWAGE&gt;2.0.CO;2,Life associated with a 2.76 Ga ephemeral pond?: Evidence from Mount Roe #2 paleosol
da5a5fe400376b204c717e6a994b6f4a,10.2113/gscpgbull.48.1.1,"Paleosol chronosequences and peritidal deposits of the Middle Devonian (Givetian) Yahatinda Formation, Wasootch Creek, Alberta, Canada"
50ad604f089c2121a47fe396c95cc1aa,10.2110/jsr.69.720,"Paleosol in Galesburg Formation (Kansas City Group, Upper Pennsylvanian), northern Midcontinent, U.S.A.; evidence for climate change and mechanisms of marine transgression"
7eae1404bacfc3c16d5f6a88115bdf54,10.1139/e17-054,"A late Quaternary loess – paleosol record at Kurtak, southern Siberia"
76d9c5f303d356ce1253b7ff64e923df,10.1306/D42682B6-2B26-11D7-8648000102C1865D,Lower Permian (Wolfcampian) Paleosol-bearing cycles of the U.S. Midcontinent; evidence of climatic cyclicity
9c8b920c82529e04a79e82b7e71b5554,10.1306/D42682BB-2B26-11D7-8648000102C1865D,"Carbonate-Paleosol genesis in the Plio-Pleistocene St. David Formation, southeastern Arizona"
3eb0df4b7971882f16c8b1b0a2c2983d,10.1130/0091-7613(1994)022&lt;0857:PAPIOT&gt;2.3.CO;2,Pedogenesis and paleoclimate: Interpretation of the magnetic susceptibility record of Chinese loess-paleosol sequences: Comments and Reply


